index,descriptors,area/point,core/prop,tags
5af6d756-4294-4c76-879d-50fc559dcb8c,cable car|cable way|aerial tramway,point,core,"aerialway=cable_car, aerialway=gondola, aerialway=mixed_lift, aerialway=station, aerialway=pylon"
1cb186c8-c9a7-4fb1-88c4-156c7e0171a6,ski tow|ski lift|rope tow|chair lift|platter lift|button lift|poma lift|disc lift|surface ski lift|surface drag lift|beginner ski lift|snowboard lift|ski drag tow|ski surface tow|ski rope tow|j bar lift|ski j bar|t-bar lift|t bar ski lift,point,core,"aerialway=chair_lift, aerialway=drag_lift, aerialway=station, aerialway=goods, aerialway=pylon, aerialway=platter, aerialway=rope_tow, aerialway=magic_carpet, aerialway=j-bar, aerialway=t-bar"
3be33ef8-056e-4725-8fbc-b1a3032d68e2,airport|airfield|air base|airplane parking|flight strip|boarding|tarmac|terminal|runway|aerodrome|airdrome|landing field|landing strip|airplane garage|hangar|aircraft shed|aviation depot|airplane storage,area,core,"aeroway=aerodrome, aeroway=aircraft_crossing, aeroway=apron, aeroway=gate, aeroway=hangar, aeroway=runway, aeroway=taxiway, aeroway=terminal, military=airfield, aeroway=parking_position, aeroway=holding_position, military=airfield, building=hangar"
c6cf2816-1e8a-480e-a93e-2726ed47e6b7,helipad|heliport|helicopter landing area|helicopter parking | helideck | helicopter landing pad | helistop,point,core,"aeroway=helipad, aeroway=heliport"
e88ac257-4696-4cba-9d6e-80b63ae7529c,air tower|Aviation control tower|Air traffic control tower|ATCT|Control tower|navigationaid|Air traffic control center |ATCC|Flight tower|Air traffic management (ATM) tower|Air traffic control facility (ATCF)|Air traffic control station (ATCS)|Air traffic control unit (ATCU),point,core,aeroway=navigationaid
527a7228-398c-4f73-b4a5-369d68150fae,spaceport|airport for spacecrafts|spacecraft drome|cosmodrome|astro station|space airport|space dock|launching base,area,core,aeroway=spaceport
ec44e226-b558-4e20-9b0a-b7be03696d83,Wind meter|Air-sleeve|Wind vane|windsock|Wind flag|Weathercock|Air sock|Wind cone|Drogue|Wind sleeve|Wind direction indicator,point,core,aeroway=windsock
cddfa154-1baf-4147-b2f4-c3d8d3af49eb,pub|bar|biergarten|beergarden|saloon|tavern|beer garden|watering hole|Inn|cocktail lounge|lounge|wine bar,point,core,"amenity=bar, amenity=pub, amenity=biergarten"
35d3da4b-c997-4a49-bcfb-272723107f70,outdoor seating|al fresco|outside seating area,,core/prop,"leisure=outdoor_seating, outdoor_seating=yes"
f0fe1d3a-7382-443d-adb2-9a546c2ed470,cafe|coffeehouse|coffee shop|bistro|tearoom|lunchroom|coffee bar|coffee place,point,core,"amenity=cafe, shop=coffee"
