index,descriptors,type,tags,combinations
0,cable car|cable way | aerial tramway,core,"aerialway=cable_car, aerialway=gondola, aerialway=mixed_lift, aerialway=station, aerialway=pylon",
3,ski tow|ski lift|rope tow|chair lift,core,"aerialway=chair_lift, aerialway=drag_lift, aerialway=station, aerialway=goods, aerialway=pylon",
14,airport|airfield|air base|airplane parking|flight strip|boarding|tarmac|terminal|runway|aerodrome|airdrome|landing field|landing strip|airplane garage,core,"aeroway=aerodrome, aeroway=aircraft_crossing, aeroway=apron, aeroway=gate, aeroway=hangar, aeroway=runway, aeroway=taxiway, aeroway=terminal, military=airfield",
19,helipad|heliport|helicopter landing area|helicopter parking | helideck | helicopter landing pad | helistop,core,"aeroway=helipad, aeroway=heliport",
21,air tower|Aviation control tower|Air traffic control tower|ATCT|Control tower|navigationaid|Air traffic control center |ATCC|Flight tower|Air traffic management (ATM) tower|Air traffic control facility (ATCF)|Air traffic control station (ATCS)|Air traffic control unit (ATCU),core,aeroway=navigationaid,
23,spaceport|airport for spacecrafts|spacecraft drome|cosmodrome|astro station|space airport|space dock|launching base,core,aeroway=spaceport,
26,Wind meter|Air-sleeve|Wind vane|windsock|Wind flag|Weathercock|Air sock|Wind cone|Drogue|Wind sleeve|Wind direction indicator,core,aeroway=windsock,
27,pub|bar|biergarten|saloon|tavern|beer garden|watering hole|Inn|cocktail lounge|lounge|wine bar,core,"amenity=bar, amentiy=pub, amenity=biergarten",
29,cafe|coffeehouse|coffee shop|bistro|tearoom|lunchroom|coffee bar,core,amenity=cafe,
32,ice cream parlor|frozen yoghurt|ice cream shop|ice cream store|ice cream parlour|confectionery,core,"amenity=ice_cream, shop=ice_cream",
34,eatery|eating area|restaurant|diner|food counter|pizzeria|canteen|grill| eating place,core,"amenity=restaurant, amenity=fast_food, amenity=food_court",
39,library|games exchange|public library|media center|archive|book room|study,core,"amenity=library, amenity=toy_library",
41,research institute|research facility|scientific research institute|academic institute|center for research|think tank,core,amenity=research_institute,
44,school|highschool|elementary school|school building|driving school|language school|music school|learning center|preparatory school,core,"amenity=school, amenity=driving_school, amenity=language_school, amenity=music_school, building=school",
46,higher education|campus|university|academy|college,core,"amenity=university, amenity=college, building=university",
47,bicycle parking area|bicycle parking spots|Bicycle parking|bike parking|cycle park|cycle stand|bicycle compound|bicycle rack|bike rack|bicycle garage,core,"amenity=bicycle_parking, amenity=bicycle_rental",
48,bicycle repair station|bike rpair facility|bike repair shop | bicycle repair shop|bike service center|bicycle service center,core,amenity=bicycle_repair_station,
50,boat rental|watercraft rental|boat charter|boat hire|canoe rental|kayak rental|yacht rental|sailing boat rental,core,"amenity=boat_rental, amenity=boat_sharing",
53,car rental|car sharing parking lot|Car sharing spots|car sharing place | hire car,core,"amenity=car_rental, amenity=car_sharing",
55,car wash| auto wash| washing facility,core,amenity=car_wash,
58,charging station|charging facility | charging dock | charging base,core,amenity=charging_station,
60,ferry terminal| marine terminal| ferry port | ferry arrival | ferry departure,core,amenity=ferry_terminal,
61,gas station|petrol station|fuel|marine fuel|service station| gasoline station | filling station| fuel station,core,"amenity=fuel, highway=services",
62,salt bin|ice bin|winter bin|grit bin|sand bin| grit box,core,amenity=grit_bin,
